Complexity,Loss,Equation
1,0.023337118,"0.2645653"
3,2.0308194e-10,"9.855886e-6 * x0"
5,1.8315537e-10,"(x0 * 9.85609e-6) - 7.988114e-6"
9,8.779295e-11,"9.855886e-6 * (x0 + cos(square(0.13106814) * x0))"
10,6.82458e-11,"9.855886e-6 * (x0 + cos(x0 * (-0.046438966 * 0.37014103)))"
12,3.2223838e-11,"9.855886e-6 * (x0 + (cos(x0 * (-0.046438966 * 0.37014103)) * 2.1076875))"
