Complexity,Loss,Equation
1,0.0085985465,"0.09415504"
2,0.00022409736,"cube(0.13827853)"
4,0.00021605457,"square(mod(x0, 0.052624054))"
5,0.00019646216,"cube(sqrt(mod(x0, 0.052624054)))"
6,0.00018381883,"cube(mod(x0, 0.052624054) / 0.23363054)"
7,0.00017642492,"cube(sqrt(mod(x0 - 1.0048491, 0.052624054)))"
8,0.000165844,"square(mod(x0 - 1.0048491, 0.052624054)) / 0.13492353"
9,0.00016108033,"abs(cube(sqrt(mod(abs(-0.67229986 - x0), 0.052624032))))"
10,0.00015152982,"sin(mod(x0 - 0.11517614, 0.052624036) + mod(1.0048491, -0.057070002))"
11,0.00014746851,"abs(square(mod(-1.4508177, -0.057069942) + mod(x0, 0.052624047)) / 0.052624047)"
12,0.00012972219,"sin(sin(mod(x0 - square(0.11517614), 0.052624036)) + mod(1.0048491, -0.057070002))"
13,0.00012659894,"abs(square(mod(0.26795587, -0.057070002) + mod(x0 - 1.0048491, 0.052624036)) / 0.052624047)"
15,0.00010472961,"sin((mod(x0 - sin(square(0.11517614)), 0.05262403) + mod(1.0048491, sin(-0.05706998))) / 1.2603686)"
